Actor,Franchise,Franchise Order,Franchise Series,Movie,Year,Number of Records
Michael Keaton,Batman,1,Original,Batman,1989,1
Robert Downey Jr,Iron Man,1,Original,Iron Man,2008,1
Tobey Maguire,Spider-man,1,Original,Spider-Man,2002,1
Christopher Reeve,Superman,1,Original,Superman,1978,1
Michael Keaton,Batman,2,Original,Batman Returns,1992,1
Robert Downey Jr,Iron Man,2,Original,Iron Man 2,2010,1
Tobey Maguire,Spider-man,2,Original,Spider-Man 2,2004,1
Christopher Reeve,Superman,2,Original,Superman II,1980,1
Val Kilmer,Batman,3,Original,Batman Forever,1995,1
Robert Downey Jr,Iron Man,3,Original,Iron Man 3,2013,1
Tobey Maguire,Spider-man,3,Original,Spider-Man 3,2007,1
Christopher Reeve,Superman,3,Original,Superman III,1983,1
George Clooney,Batman,4,Original,Batman & Robin,1997,1
Christopher Reeve,Superman,4,Original,Superman IV: The Quest for Peace,1987,1
Christian Bale,Batman,1,Reboot,Batman Begins,2005,1
Andrew Garfield,Spider-man,1,Reboot,The Amazing Spider-Man,2012,1
Brandon Routh,Superman,1,Reboot,Superman Returns,2006,1
Christian Bale,Batman,2,Reboot,The Dark Knight,2008,1
Andrew Garfield,Spider-man,2,Reboot,The Amazing Spider-Man 2,2014,1
Henry Cavil,Superman,2,Reboot,Man of Steel,2013,1
Christian Bale,Batman,3,Reboot,The Dark Knight Rises,2012,1
